NAME	A1CF	ABI2	ABI3	ABL1	AGR2	AKT1	APC	APIP	APOBEC1	AR	ARID1A	ARRB1	ATM	ATN1	ATP5ME	AXIN1	BAG3	BCL2L1	BCL2L2	BCL6	BCOR	BLK	BMI1	BNIP3	BRCA2	BUD31	C2CD2L	CALCOCO2	CALM2	CALM3	CAPRIN2	CBX8	CCT5	CDC73	CDCA7L	CDK2	CDK6	CDKN1A	CDKN1B	CDKN2A	CEBPA	CLEC7A	CLK3	COPS5	CREB1	CREBBP	CRK	CRX	CSNK1D	CSNK2A1	CSNK2B	CTBP2	CTNNB1	DDX3X	DDX6	DISC1	DMC1	DVL3	E2F1	EGFR	ERBB2	ERF	ESR1	EXOSC5	FBXW7	FHL2	FN1	FOS	FOXI1	FOXN1	FOXP2	FUBP1	FXR1	GATA1	GFI1	GLI1	GLI2	GOLGA2	GRB2	GTF2I	H4C9	HMGA1	HMGA2	HNRNPC	HNRNPD	HNRNPU	HOXA1	HOXC4	HOXD8	HSPB1	IGFBP5	IKZF3	IRX2	KANK2	KEAP1	LDB1	LDLRAP1	LDOC1	LEF1	LHX3	LMO1	LMO2	MAPKAPK2	MAX	MDM2	MEOX2	MID2	MIEN1	MORF4L2	MSX2	MXI1	MYC	MYCN	NAF1	NCK2	NCOA1	NDOR1	NFATC1	NKX2-5	NMI	NOS3	NOXA1	NUDT21	OPTN	OSGIN1	OTX1	OTX2	PALB2	PARP1	PAX3	PCGF5	PFDN5	PHF1	PIAS3	PIAS4	PICK1	PIK3CA	PIK3R1	PIK3R3	PIN1	PITX2	PKN1	PLEKHN1	POGZ	POLR2G	POU2F1	POU4F2	PPIA	PPIL1	PPP2CA	PRDM6	PRKAR1A	PRPF31	PRRX1	PSMC5	PTCH1	PTEN	PTK2	PTK6	PTK7	RAC1	RBM39	RBPMS	REL	RHOH	RPS3	RUNX1T1	RUNX2	SAAL1	SDCBP	SET	SHH	SIAH1	SIX1	SKI	SKP1	SKP2	SLC7A1	SMAD3	SMARCA4	SMARCB1	SNAI1	SNIP1	SOX13	SOX2	SOX5	STAT3	STK16	SUFU	SUMO1	SYNCRIP	TAL1	TBX18	TBX22	TCF12	TCF3	TCF4	TCF7L2	TENT5B	TERT	TFIP11	TLE5	TMBIM6	TP53	TP53BP1	TP53BP2	TRAF2	TRIM68	UBE2I	VCAM1	VENTX	VEZF1	WBP2	WWOX	XRCC6	YAP1	YPEL3	YWHAQ	ZBTB16	ZBTB8A	ZC3H10	ZFHX3	ZFYVE26	ZNF143	ZNF281	ZNF410
positive regulation of RNA biosynthetic process	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	1	0	0	0	1	1	1	0	0	0	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	1	0	1	1	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	1	1	1	1	0	1	0	1	1	0	0	0	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	1	1	0	0	1	0	1	0	0	0	0	1	0	0	1	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	1	1	0	0	1	0	0	1	0	1	1	1
regulation of cell cycle G1/S phase transition	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
negative regulation of cell cycle G1/S phase transition	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
negative regulation of mRNA metabolic process	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
regulation of protein modification by small protein conjugation or removal	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
negative regulation of protein modification by small protein conjugation or removal	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
positive regulation of protein modification by small protein conjugation or removal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
regulation of nucleic acid-templated transcription	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	1	1	0	0	1	1	0	1	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	1	1	1	0	0	1	1	1	0	1	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	1	1	1	1	0	0	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	1	0	0	1	0	1	1	1	0	0	0	1	1	1	0	0	1	0	0	1	1	1	1	0	0	0	0	0	1	1	0	1	1	1	0	1	1	1	0	1	1	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	1	1	1	1	1	0	1	0	1	0	1	1	0	1	0	1	0	1	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1
negative regulation of nucleic acid-templated transcription	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1	0	1	0	0	1	0
positive regulation of nucleic acid-templated transcription	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	1	0	0	0	1	1	1	0	0	0	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	1	0	1	1	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	1	1	1	1	0	1	0	1	1	0	0	0	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	1	1	0	0	1	0	1	0	0	0	0	1	0	0	1	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	1	1	0	0	1	0	0	1	0	1	1	1
regulation of miRNA maturation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
regulation of cyclin-dependent protein kinase activity	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell surface receptor signaling pathway involved in cell-cell signaling	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
regulation of G1/S transition of mitotic cell cycle	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
regulation of RNA biosynthetic process	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	1	1	0	0	1	1	0	1	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	1	1	1	0	0	1	1	1	0	1	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	1	1	1	1	0	0	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	1	0	0	1	0	1	1	1	0	0	0	1	1	1	0	0	1	0	0	1	1	1	1	0	0	0	0	0	1	1	0	1	1	1	0	1	1	1	0	1	1	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	1	1	1	1	1	0	1	0	1	0	1	1	0	1	0	1	0	1	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1
